synthetic_marker,sale_id,sale_date,dealer_id,salesperson_id,customer_id,vin_like,make,model,sale_price,margin
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0001,2025-07-12,SYN-DEALER-COAST,SYN-REP-04,SYN-CUSTOMER-0001,SYNVIN00000000001,Example Automotive,Harbour,46000,3250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0002,2025-07-04,SYN-DEALER-CENTRAL,SYN-REP-02,SYN-CUSTOMER-0002,SYNVIN00000000002,Sample Mobility,Banksia,65500,1500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0003,2025-07-13,SYN-DEALER-CENTRAL,SYN-REP-07,SYN-CUSTOMER-0003,SYNVIN00000000003,Imaginary Vehicles,Wattle,70000,5500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0004,2025-07-05,SYN-DEALER-NORTH,SYN-REP-02,SYN-CUSTOMER-0004,SYNVIN00000000004,Sample Mobility,Banksia,78500,5250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0005,2025-07-30,SYN-DEALER-COAST,SYN-REP-04,SYN-CUSTOMER-0005,SYNVIN00000000005,Example Automotive,Harbour,49500,5500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0006,2025-07-04,SYN-DEALER-CENTRAL,SYN-REP-06,SYN-CUSTOMER-0006,SYNVIN00000000006,Imaginary Vehicles,Wattle,39000,5000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0007,2025-07-14,SYN-DEALER-CENTRAL,SYN-REP-06,SYN-CUSTOMER-0007,SYNVIN00000000007,Imaginary Vehicles,Wattle,50000,4000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0008,2025-07-07,SYN-DEALER-NORTH,SYN-REP-01,SYN-CUSTOMER-0008,SYNVIN00000000008,Sample Mobility,Banksia,38500,9000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0009,2025-08-22,SYN-DEALER-CENTRAL,SYN-REP-07,SYN-CUSTOMER-0009,SYNVIN00000000009,Example Automotive,Harbour,58000,1500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0010,2025-08-31,SYN-DEALER-NORTH,SYN-REP-01,SYN-CUSTOMER-0010,SYNVIN00000000010,Fiction Motors,Comet,55500,7500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0011,2025-08-13,SYN-DEALER-NORTH,SYN-REP-06,SYN-CUSTOMER-0011,SYNVIN00000000011,Imaginary Vehicles,Wattle,47500,3000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0012,2025-08-28,SYN-DEALER-NORTH,SYN-REP-05,SYN-CUSTOMER-0012,SYNVIN00000000012,Sample Mobility,Banksia,37500,4750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0013,2025-08-23,SYN-DEALER-NORTH,SYN-REP-08,SYN-CUSTOMER-0013,SYNVIN00000000013,Fiction Motors,Comet,35000,3750
